ΠΕ,18-10,19-10,20-10,21-10,22-10,23-10,24-10,25-10,26-10,27-10,28-10,29-10,30-10,31-10,1-11,2-11,3-11,4-11,5-11,6-11,7-11,8-11,9-11,10-11,11-11,12-11,13-11,14-11,15-11,16-11,17-11,18-11,19-11,20-11,21-11,22-11,23-11,24-11,25-11,26-11,27-11,28-11,29-11,30-11,1-12,2-12,3-12,4-12,5-12,6-12,7-12,8-12,9-12,10-12,11-12,12-12,13-12,14-12,15-12,16-12,17-12,18-12,19-12,20-12,21-12
Περιφέρεια Αττικής,164,175,250,331,290,290,228,227,260,295,419,355,422,464,300,362,542,588,588,492,637,396,390,588,635,756,697,612,405,492,513,564,646,582,382,218,252,401,383,408,319,273,247,255,413,375,334,316,260,164,250,303,365,318,295,256,169,184,270,281,251,248,219,172,134
Π.Ε. Θεσσαλονίκης,53,49,125,181,188,197,217,181,84,291,384,275,540,839,449,210,595,823,862,683,560,483,413,652,777,828,725,766,435,491,595,905,774,673,606,305,300,607,633,562,545,486,235,213,538,453,428,367,305,203,243,283,317,298,357,248,151,163,232,270,237,186,159,100,118
Π.Ε. Αιτωλοακαρνανίας,0,3,4,12,2,2,0,1,4,4,4,6,6,2,3,1,6,2,19,19,7,7,5,12,7,18,33,14,9,25,17,9,27,18,58,19,17,25,23,42,18,30,19,7,28,18,9,20,10,17,11,20,15,11,22,7,9,0,4,6,9,17,12,19,2
Π.Ε. Άνδρου,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Π.Ε. Αργολίδας,3,1,4,3,3,1,1,3,3,0,1,1,2,1,1,2,3,2,1,2,2,8,0,13,4,4,5,2,4,2,2,2,2,4,0,1,0,1,0,2,0,6,0,8,8,4,1,17,1,3,2,9,7,4,6,3,0,2,1,0,2,1,0,1,1
Π.Ε. Αρκαδίας,0,0,0,0,3,0,6,0,5,3,5,3,2,8,9,2,4,16,3,5,1,0,7,7,7,4,7,13,4,1,2,12,14,6,3,2,2,2,7,9,0,8,2,8,10,14,5,5,0,2,0,29,3,1,4,4,3,0,0,4,2,1,6,0,4
Π.Ε. Άρτας,0,0,0,0,0,3,1,0,5,2,1,0,4,3,0,1,2,5,8,3,10,3,0,6,4,6,10,4,11,1,4,12,4,5,8,8,5,3,12,7,12,3,1,6,4,5,1,0,2,1,2,2,1,3,3,2,1,2,4,2,0,0,0,0,0
Π.Ε. Αχαΐας,6,4,6,10,9,12,4,6,16,18,10,13,14,9,32,21,18,22,19,23,22,18,25,20,0,0,0,22,0,0,34,0,52,29,19,28,23,30,29,17,22,27,16,0,0,23,0,13,10,0,12,10,24,36,12,16,7,7,22,25,13,2,15,8,0
Π.Ε. Βοιωτίας,1,4,30,10,7,2,5,0,6,4,6,3,9,4,2,1,0,0,8,0,0,0,0,0,17,18,10,25,4,4,15,9,10,15,6,10,3,22,15,5,3,17,3,4,11,12,7,14,25,13,16,12,6,23,2,8,1,1,9,5,6,12,2,2,0
Π.Ε. Γρεβενών,0,0,0,0,0,0,0,2,0,1,2,0,2,0,2,1,2,1,4,5,17,2,8,6,19,18,24,17,38,38,30,19,26,6,18,5,42,13,15,22,15,13,9,5,17,11,16,13,5,4,18,6,15,11,4,9,2,7,8,3,0,4,0,0,3
Π.Ε. Δράμας,2,0,2,0,2,6,14,13,0,18,34,24,33,54,90,59,46,85,162,100,151,31,24,52,48,98,24,83,29,147,87,95,112,62,55,47,19,33,59,24,40,57,64,17,81,70,75,33,30,27,27,31,35,70,25,18,3,17,14,15,20,8,11,7,0
